Wavelength,Transmission
7259.0,0.964146
7260.0,0.9643
7261.0,0.964462
7262.0,0.96463
7263.0,0.964803
7264.0,0.964979
7265.0,0.965157
7266.0,0.965334
7267.0,0.965509
7268.0,0.965679
7269.0,0.965843
7270.0,0.966
7271.0,0.966147
7272.0,0.966285
7273.0,0.966415
7274.0,0.966535
7275.0,0.966648
7276.0,0.966752
7277.0,0.96685
7278.0,0.96694
7279.0,0.967023
7280.0,0.9671
7281.0,0.967171
7282.0,0.967237
7283.0,0.967299
7284.0,0.967358
7285.0,0.967414
7286.0,0.96747
7287.0,0.967525
7288.0,0.967581
7289.0,0.967639
7290.0,0.9677
7291.0,0.967764
7292.0,0.96783
7293.0,0.967898
7294.0,0.967966
7295.0,0.968032
7296.0,0.968096
7297.0,0.968156
7298.0,0.968211
7299.0,0.968259
7300.0,0.9683
7301.0,0.968333
7302.0,0.968358
7303.0,0.968378
7304.0,0.968394
7305.0,0.968407
7306.0,0.96842
7307.0,0.968434
7308.0,0.968451
7309.0,0.968473
7310.0,0.9685
7311.0,0.968535
7312.0,0.968576
7313.0,0.968625
7314.0,0.968679
7315.0,0.968739
7316.0,0.968804
7317.0,0.968873
7318.0,0.968946
7319.0,0.969021
7320.0,0.9691
7321.0,0.969181
7322.0,0.969263
7323.0,0.969346
7324.0,0.969429
7325.0,0.969512
7326.0,0.969594
7327.0,0.969674
7328.0,0.969752
7329.0,0.969828
7330.0,0.9699
7331.0,0.969968
7332.0,0.970033
7333.0,0.970096
7334.0,0.970156
7335.0,0.970214
7336.0,0.970271
7337.0,0.970328
7338.0,0.970384
7339.0,0.970442
7340.0,0.9705
7341.0,0.97056
7342.0,0.970622
7343.0,0.970686
7344.0,0.970752
7345.0,0.97082
7346.0,0.970891
7347.0,0.970964
7348.0,0.97104
7349.0,0.971119
7350.0,0.9712
7351.0,0.971284
7352.0,0.971371
7353.0,0.97146
7354.0,0.971551
7355.0,0.971642
7356.0,0.971735
7357.0,0.971827
7358.0,0.971919
7359.0,0.97201
7360.0,0.9721
7361.0,0.972188
7362.0,0.972274
7363.0,0.972359
7364.0,0.972442
7365.0,0.972522
7366.0,0.972602
