Wavelength,Transmission
6073.0,0.927545
6074.0,0.928239
6075.0,0.928938
6076.0,0.929642
6077.0,0.93035
6078.0,0.931063
6079.0,0.93178
6080.0,0.9325
6081.0,0.933224
6082.0,0.93395
6083.0,0.934678
6084.0,0.935409
6085.0,0.93614
6086.0,0.936872
6087.0,0.937605
6088.0,0.938338
6089.0,0.939069
6090.0,0.9398
6091.0,0.940529
6092.0,0.941256
6093.0,0.941979
6094.0,0.942699
6095.0,0.943415
6096.0,0.944125
6097.0,0.944829
6098.0,0.945527
6099.0,0.946218
6100.0,0.9469
6101.0,0.947574
6102.0,0.948239
6103.0,0.948894
6104.0,0.94954
6105.0,0.950177
6106.0,0.950803
6107.0,0.951418
6108.0,0.952023
6109.0,0.952617
6110.0,0.9532
6111.0,0.953771
6112.0,0.95433
6113.0,0.954876
6114.0,0.955409
6115.0,0.955928
6116.0,0.956433
6117.0,0.956924
6118.0,0.957399
6119.0,0.957857
6120.0,0.9583
6121.0,0.958726
6122.0,0.959136
6123.0,0.959532
6124.0,0.959914
6125.0,0.960284
6126.0,0.960644
6127.0,0.960994
6128.0,0.961336
6129.0,0.961671
6130.0,0.962
6131.0,0.962324
6132.0,0.962644
6133.0,0.962959
6134.0,0.963268
6135.0,0.963572
6136.0,0.96387
6137.0,0.964162
6138.0,0.964448
6139.0,0.964727
6140.0,0.965
6141.0,0.965266
6142.0,0.965523
6143.0,0.965773
6144.0,0.966012
6145.0,0.966241
6146.0,0.966459
6147.0,0.966665
6148.0,0.966857
6149.0,0.967036
6150.0,0.9672
6151.0,0.967349
6152.0,0.967483
6153.0,0.967604
6154.0,0.967713
6155.0,0.967813
6156.0,0.967903
6157.0,0.967985
6158.0,0.968061
6159.0,0.968133
6160.0,0.9682
6161.0,0.968265
6162.0,0.968328
6163.0,0.968389
6164.0,0.968449
6165.0,0.968508
6166.0,0.968566
6167.0,0.968624
6168.0,0.968682
6169.0,0.968741
6170.0,0.9688
6171.0,0.96886
6172.0,0.968919
6173.0,0.968977
6174.0,0.969031
6175.0,0.969081
6176.0,0.969123
6177.0,0.969158
6178.0,0.969184
6179.0,0.969198
6180.0,0.9692
6181.0,0.969188
6182.0,0.969164
6183.0,0.969129
6184.0,0.969085
6185.0,0.969032
6186.0,0.968973
6187.0,0.968909
6188.0,0.968841
6189.0,0.968771
6190.0,0.9687
6191.0,0.96863
6192.0,0.96856
6193.0,0.968491
6194.0,0.968422
6195.0,0.968353
6196.0,0.968284
6197.0,0.968214
6198.0,0.968144
6199.0,0.968072
6200.0,0.968
6201.0,0.967926
6202.0,0.967851
6203.0,0.967773
6204.0,0.967691
6205.0,0.967606
6206.0,0.967517
6207.0,0.967422
6208.0,0.967321
6209.0,0.967214
6210.0,0.9671
6211.0,0.966978
6212.0,0.966848
6213.0,0.96671
6214.0,0.966564
6215.0,0.966409
6216.0,0.966246
6217.0,0.966073
6218.0,0.965892
6219.0,0.965701
6220.0,0.9655
6221.0,0.96529
6222.0,0.965071
6223.0,0.964844
6224.0,0.96461
6225.0,0.964369
6226.0,0.964123
6227.0,0.963872
6228.0,0.963617
6229.0,0.96336
6230.0,0.9631
6231.0,0.962839
6232.0,0.962577
6233.0,0.962314
6234.0,0.962051
6235.0,0.961789
6236.0,0.961528
6237.0,0.961268
6238.0,0.96101
6239.0,0.960754
6240.0,0.9605
6241.0,0.960249
6242.0,0.960001
6243.0,0.959754
6244.0,0.959508
6245.0,0.959261
6246.0,0.959014
6247.0,0.958765
6248.0,0.958513
6249.0,0.958259
6250.0,0.958
6251.0,0.957737
6252.0,0.957469
6253.0,0.957197
6254.0,0.95692
6255.0,0.956641
6256.0,0.956358
6257.0,0.956072
6258.0,0.955784
6259.0,0.955493
6260.0,0.9552
6261.0,0.954906
6262.0,0.954611
6263.0,0.954317
6264.0,0.954026
6265.0,0.953738
6266.0,0.953455
6267.0,0.953178
6268.0,0.952909
6269.0,0.95265
6270.0,0.9524
6271.0,0.952162
6272.0,0.951934
6273.0,0.951717
6274.0,0.951508
6275.0,0.951308
6276.0,0.951115
6277.0,0.950929
6278.0,0.950748
6279.0,0.950572
6280.0,0.9504
6281.0,0.950231
6282.0,0.950067
6283.0,0.949907
6284.0,0.949753
6285.0,0.949606
6286.0,0.949466
6287.0,0.949335
6288.0,0.949213
6289.0,0.949101
6290.0,0.949
6291.0,0.948911
6292.0,0.948834
6293.0,0.948768
6294.0,0.948713
6295.0,0.948669
6296.0,0.948635
6297.0,0.948612
6298.0,0.948598
6299.0,0.948594
6300.0,0.9486
6301.0,0.948615
6302.0,0.948638
6303.0,0.94867
6304.0,0.94871
6305.0,0.948757
6306.0,0.948812
6307.0,0.948874
6308.0,0.948943
6309.0,0.949019
6310.0,0.9491
6311.0,0.949187
6312.0,0.949282
6313.0,0.949384
6314.0,0.949494
6315.0,0.949615
6316.0,0.949746
6317.0,0.94989
6318.0,0.950046
6319.0,0.950215
6320.0,0.9504
6321.0,0.9506
6322.0,0.950815
6323.0,0.951042
6324.0,0.951282
6325.0,0.951533
6326.0,0.951792
6327.0,0.95206
6328.0,0.952335
6329.0,0.952615
6330.0,0.9529
6331.0,0.953188
6332.0,0.953478
6333.0,0.953772
6334.0,0.954068
6335.0,0.954367
6336.0,0.954668
6337.0,0.954973
6338.0,0.955279
6339.0,0.955588
6340.0,0.9559
6341.0,0.956214
6342.0,0.956531
6343.0,0.95685
6344.0,0.957173
6345.0,0.9575
6346.0,0.957831
6347.0,0.958166
6348.0,0.958505
6349.0,0.95885
6350.0,0.9592
6351.0,0.959555
6352.0,0.959915
6353.0,0.960278
6354.0,0.960642
6355.0,0.961007
6356.0,0.961372
6357.0,0.961735
6358.0,0.962095
6359.0,0.96245
6360.0,0.9628
6361.0,0.963143
6362.0,0.963479
6363.0,0.963806
6364.0,0.964124
6365.0,0.964432
6366.0,0.96473
6367.0,0.965016
6368.0,0.965291
6369.0,0.965552
6370.0,0.9658
6371.0,0.966034
6372.0,0.966255
6373.0,0.966466
6374.0,0.966668
6375.0,0.966863
6376.0,0.967053
6377.0,0.96724
6378.0,0.967426
6379.0,0.967612
6380.0,0.9678
6381.0,0.967992
6382.0,0.968187
6383.0,0.968384
6384.0,0.968581
6385.0,0.968777
6386.0,0.968971
6387.0,0.969161
6388.0,0.969347
6389.0,0.969527
6390.0,0.9697
6391.0,0.969864
6392.0,0.97002
6393.0,0.970166
6394.0,0.970303
6395.0,0.97043
6396.0,0.970546
6397.0,0.970651
6398.0,0.970746
6399.0,0.970829
6400.0,0.9709
6401.0,0.970959
6402.0,0.971007
6403.0,0.971044
6404.0,0.971072
6405.0,0.971092
6406.0,0.971105
6407.0,0.971111
6408.0,0.971111
6409.0,0.971107
6410.0,0.9711
6411.0,0.97109
6412.0,0.971077
6413.0,0.971062
6414.0,0.971045
6415.0,0.971026
6416.0,0.971005
6417.0,0.970981
6418.0,0.970956
6419.0,0.970929
6420.0,0.9709
6421.0,0.970869
6422.0,0.970837
6423.0,0.970803
6424.0,0.970767
6425.0,0.970729
6426.0,0.970688
6427.0,0.970645
6428.0,0.9706
6429.0,0.970551
6430.0,0.9705
6431.0,0.970446
6432.0,0.970389
6433.0,0.970331
6434.0,0.97027
6435.0,0.970209
6436.0,0.970147
6437.0,0.970084
6438.0,0.970022
6439.0,0.96996
6440.0,0.9699
6441.0,0.969841
6442.0,0.969784
6443.0,0.969728
6444.0,0.969675
6445.0,0.969623
6446.0,0.969574
6447.0,0.969527
6448.0,0.969482
6449.0,0.96944
6450.0,0.9694
6451.0,0.969363
6452.0,0.96933
6453.0,0.969299
6454.0,0.969272
6455.0,0.969249
6456.0,0.96923
6457.0,0.969216
6458.0,0.969205
6459.0,0.9692
6460.0,0.9692
6461.0,0.969205
6462.0,0.969216
6463.0,0.969232
6464.0,0.969253
6465.0,0.96928
6466.0,0.969313
6467.0,0.969351
6468.0,0.969395
6469.0,0.969445
6470.0,0.9695
6471.0,0.969561
6472.0,0.969627
6473.0,0.969699
6474.0,0.969774
6475.0,0.969854
6476.0,0.969938
6477.0,0.970024
6478.0,0.970114
6479.0,0.970206
6480.0,0.9703
6481.0,0.970396
6482.0,0.970492
6483.0,0.970591
6484.0,0.97069
6485.0,0.97079
6486.0,0.970891
6487.0,0.970993
6488.0,0.971095
6489.0,0.971197
6490.0,0.9713
6491.0,0.971403
6492.0,0.971506
6493.0,0.97161
6494.0,0.971715
6495.0,0.971823
6496.0,0.971932
6497.0,0.972044
6498.0,0.972159
6499.0,0.972277
6500.0,0.9724
6501.0,0.972527
6502.0,0.972657
