#http://jwst.astro.umontreal.ca/?page_id=51

NIRISS Instrument Team Estimated Throughput. Source: Loic Albert.
First order is valid between 0.6 and 3.0 microns.
Second order is valid between 0.6 and 1.4 microns.
Third order is a highly uncertain guess lacking lab test.
---
     wavelength (nm)       T first order      T second order       T third order
               817.0             0.09492              0.1186               0.000
               818.0             0.09570              0.1178               0.000
               819.0             0.09650              0.1169               0.000
               820.0             0.09728              0.1161               0.000
               821.0             0.09802              0.1152               0.000
               822.0             0.09876              0.1144               0.000
               823.0             0.09955              0.1136               0.000
               824.0              0.1004              0.1128               0.000
               825.0              0.1011              0.1120               0.000
               826.0              0.1019              0.1112               0.000
               827.0              0.1027              0.1104               0.000
               828.0              0.1035              0.1096               0.000
               829.0              0.1043              0.1088               0.000
               830.0              0.1051              0.1080               0.000
               831.0              0.1059              0.1073               0.000
               832.0              0.1067              0.1065               0.000
               833.0              0.1075              0.1057               0.000
               834.0              0.1083              0.1049               0.000
               835.0              0.1090              0.1042               0.000
               836.0              0.1098              0.1034               0.000
               837.0              0.1105              0.1026               0.000
               838.0              0.1113              0.1018               0.000
               839.0              0.1121              0.1011               0.000
               840.0              0.1129              0.1004               0.000
               841.0              0.1137             0.09969               0.000
               842.0              0.1145             0.09896               0.000
               843.0              0.1153             0.09825               0.000
               844.0              0.1161             0.09754               0.000
               845.0              0.1169             0.09684               0.000
               846.0              0.1177             0.09614               0.000
               847.0              0.1185             0.09546               0.000
               848.0              0.1193             0.09479               0.000
               849.0              0.1201             0.09412               0.000
               850.0              0.1209             0.09347               0.000
               851.0              0.1218             0.09287               0.000
               852.0              0.1227             0.09228               0.000
               853.0              0.1236             0.09165               0.000
               854.0              0.1244             0.09101               0.000
               855.0              0.1253             0.09040               0.000
               856.0              0.1262             0.08979               0.000
               857.0              0.1271             0.08918               0.000
               858.0              0.1279             0.08858               0.000
               859.0              0.1288             0.08797               0.000
               860.0              0.1297             0.08738               0.000
               861.0              0.1306             0.08683               0.000
               862.0              0.1316             0.08627               0.000
               863.0              0.1324             0.08567               0.000
               864.0              0.1333             0.08506               0.000
               865.0              0.1341             0.08446               0.000
               866.0              0.1350             0.08385               0.000
               867.0              0.1358             0.08325               0.000
               868.0              0.1366             0.08267               0.000
